video_id,url,channel,category,tags,title,notes
Z8C2vn1VVzU,https://www.youtube.com/watch?v=Z8C2vn1VVzU&t=315s,Waymo,robotaxi_safety,"robotaxi,driverless,operational_safety",Waymo autonomous driving overview,
j0z4FweCy4M,https://www.youtube.com/watch?v=j0z4FweCy4M,Tesla,camera_only_perception,"vision,neural_networks,occupancy",Tesla autonomy / perception,
hx7BXih7zx8,https://www.youtube.com/watch?v=hx7BXih7zx8,Andrej Karpathy,perception,"imitation_learning,deep_learning,computer_vision",Deep learning for self-driving cars,
IHH47nZ7FZU,https://www.youtube.com/watch?v=IHH47nZ7FZU,MIT OpenCourseWare,autonomous_driving_lecture,"planning,perception,control",Autonomous driving lecture,
Q0nGo2-y0xY,https://www.youtube.com/watch?v=Q0nGo2-y0xY,Mobileye,safety_model,"rss,safety_model,formal_rules",Mobileye safety model,
_q4WUxgwDeg&t=7s,https://www.youtube.com/watch?v=_q4WUxgwDeg&t=7s,Tübingen Machine Learning,autonomous_driving_lecture,,Self-Driving Cars - Lecture 1.1 (Introduction: Organization),
4B0YY9OgHG8,https://www.youtube.com/watch?v=4B0YY9OgHG8,Tübingen Machine Learning,autonomous_driving_lecture,benefits_of_autonomous_driving,Self-Driving Cars - Lecture 1.2 (Introduction: Introduction),
qSDS-Ti7sMc,https://www.youtube.com/watch?v=qSDS-Ti7sMc,Tübingen Machine Learning,autonomous_driving_lecture,introduction_ history_of_self-driving,Self-Driving Cars - Lecture 1.3 (Introduction: History of Self-Driving),
twMHsKYtHKA&t=1s,https://www.youtube.com/watch?v=twMHsKYtHKA&t=1s,Tübingen Machine Learning,perception,"object_detection,imitation_learning",Self-Driving Cars - Lecture 2.1 (Imitation Learning: Approaches to Self-Driving),
eugyHqrDMog,https://www.youtube.com/watch?v=eugyHqrDMog,Tübingen Machine Learning,autonomous_driving_lecture,"deep_learning, supervised_learning",Self-Driving Cars - Lecture 2.2 (Imitation Learning: Deep Learning Recap),
XQuLVDEMm1g,https://www.youtube.com/watch?v=XQuLVDEMm1g,Tübingen Machine Learning,autonomous_driving_lecture,imitation_learning,Self-Driving Cars - Lecture 2.3 (Imitation Learning: Imitation Learning),
U5kZ1uRPx7o&t=1s,https://www.youtube.com/watch?v=U5kZ1uRPx7o&t=1s,Tübingen Machine Learning,autonomous_driving_lecture,"imitation_learning, attention, network_architectures, data_augmentation",Self-Driving Cars - Lecture 2.4 (Imitation Learning: Conditional Imitation Learning),
m60wi2-8Mwo&t=1s,https://www.youtube.com/watch?v=m60wi2-8Mwo&t=1s,Tübingen Machine Learning,direct_perception,direct_perception,Self-Driving Cars - Lecture 3.1 (Direct Perception: Direct Perception),
tJhcHSmBbmk,https://www.youtube.com/watch?v=tJhcHSmBbmk,Tübingen Machine Learning,direct_perception,conditional_affordance_learning,Self-Driving Cars - Lecture 3.2 (Direct Perception: Conditional Affordance Learning),
c9i6mvAViuM,https://www.youtube.com/watch?v=c9i6mvAViuM,Tübingen Machine Learning,direct_perception,visual_abstractions,Self-Driving Cars - Lecture 3.3 (Direct Perception: Visual Abstractions),
